cruise,seq,date_time,ctrb_id,bottle,depth,dec_lat,dec_long,adinos,hdinos
15090,2,1990-05-30 15:45:00,H1,6,0,36.62,-121.89,0.175933697795868,3.1029800971253
15090,5,1990-05-30 17:45:00,C7,11,0,36.63,-122.13,-0.218085116793751,1.71934539495227
15090,6,1990-05-30 20:42:00,H3,11,0,36.77,-122.01,3.71429892443044,0.771685218323731
16490,1,1990-06-13 14:53:00,C1,11,0,36.79,-121.84,1.03364202990081,2.75517822277306
16490,2,1990-06-13 16:28:00,H1,6,0,36.64,-121.88,0.870716630625917,2.76030806014767
16590,2,1990-06-14 16:45:00,H3,7,0,36.77,-122.01,3.19481453994857,2.51915194515483
PP13,1,1990-06-16 21:37:00,1,11,0,36.33,-121.93,1.5724429604357,-2.16855257595334
PP13,7,1990-06-17 01:38:00,7,11,0,36.33,-122.25,0.0577480177671649,2.42893250501277
PP13,13,1990-06-17 23:54:00,13,11,0,36.33,-122.58,2.0404206585592,1.72199898177076
PP13,24,1990-06-22 02:05:00,67-55,11,0,36.6,-122.48,1.0279551759568,0.743013907884397
PP13,27,1990-06-22 09:12:00,27,11,0,36.71,-122.23,-1.50049830935776,0.687202043200318
17790,1,1990-06-26 15:23:00,C1,11,0,36.79,-121.84,2.1415751420623,1.42774431843023
17790,2,1990-06-26 16:43:00,H1,6,0,36.62,-121.89,0.359858072405628,NA
17790,5,1990-06-26 18:50:00,C7,11,0,36.63,-122.14,0.785898179361392,1.13985947278246
17790,7,1990-06-26 23:00:00,H3,11,0,36.77,-122.01,2.40007008799064,3.22985022524254
17890,5,1990-06-27 17:33:00,H5,1,0,36.9,-122.01,0.0995674683140537,2.52448683358038
19290,1,1990-07-11 14:55:00,C1,11,0,36.79,-121.84,-0.109857277620852,0.618949896725746
19290,2,1990-07-11 16:38:00,H1,6,0,36.62,-121.89,1.53452878867489,2.98608544214021
19290,5,1990-07-11 18:45:00,C7,11,0,36.63,-122.14,-0.591582058304183,1.6943219281946
19290,6,1990-07-11 20:29:00,H3,11,0,36.77,-122.01,2.09712587304899,3.50146084941334
20790,1,1990-07-26 14:46:00,C1,11,0,36.79,-121.84,3.20411367857726,2.19294007863266
20790,2,1990-07-26 16:17:00,H3,11,0,36.77,-122.01,0.28055624393368,1.73557652064361
20790,3,1990-07-26 19:38:00,C7,11,0,36.63,-122.13,-1.89288894835807,-0.572163937700068
20790,5,1990-07-26 21:35:00,H1,6,0,36.62,-121.89,0.293273163133655,2.998846519253
22090,7,1990-08-08 22:42:00,C1,11,0,36.79,-121.84,0.601944851969997,1.39905879796686
22190,1,1990-08-09 15:50:00,H3,11,0,36.78,-122.01,-0.895341703123772,2.00914460598493
22190,2,1990-08-09 17:34:00,C7,11,0,36.64,-122.13,0.50618065257104,2.61440691792013
22190,3,1990-08-09 18:43:00,Q5,3,0,36.63,-122.01,1.9901805908407,0.997422692250359
PP14,24,1990-08-19 02:15:00,67-55,11,0,36.6,-122.48,-0.156501774819692,-0.0895309119902897
PP14,26,1990-08-19 07:08:00,26,11,0,36.61,-122.15,1.40937421049188,1.60550779964819
PP14,27,1990-08-19 13:20:00,27,11,0,36.71,-122.23,-1.03292005830904,0.912243753894525
PP14,33,1990-08-19 16:53:00,67-50,11,0,36.76,-122.03,-0.678871563791463,1.01233373400768
24890,1,1990-09-05 15:17:00,C1,11,0,36.79,-121.84,1.93484833501922,2.50912191269278
24890,2,1990-09-05 16:30:00,H1,6,0,36.62,-121.89,2.47816455620029,3.13134260992665
24890,5,1990-09-05 18:22:00,C7,12,0,36.63,-122.13,1.53185597458149,1.9199975854844
24890,6,1990-09-05 19:50:00,H3,11,0,36.77,-122.01,0.938951623379735,2.68152078762546
26290,5,1990-09-19 21:00:00,H5,2,0,36.9,-122.01,3.12831262032774,-1.78588873575633
26290,7,1990-09-19 22:19:00,C1,11,0,36.79,-121.84,0.357486314688444,1.972449557011
26390,1,1990-09-20 15:42:00,H3,11,0,36.77,-122.01,2.47269311732503,-0.369871638533124
27690,1,1990-10-03 15:50:00,H3,11,0,36.77,-122.01,2.81319345316001,1.12445188549692
27690,4,1990-10-03 20:42:00,C7,11,0,36.62,-122.13,0.621063465906179,1.56391195494061
27690,5,1990-10-03 21:42:00,Q5,2,0,36.63,-122.01,0.0130366523683176,1.65208313985467
27690,6,1990-10-03 22:26:00,H1,6,0,36.62,-121.89,3.22400516727029,1.53324086737863
27790,1,1990-10-04 14:41:00,C1,11,0,36.79,-121.84,0.331670010081151,0.491607329713883
27790,5,1990-10-04 18:56:00,H5,2,0,36.9,-122.01,1.40625849498103,1.91984363595286
PP15,33,1990-10-23 21:00:00,67-50,11,0,36.78,-122.03,0.799064541150851,-0.270286260782673
PP15,24,1990-10-24 04:00:00,67-55,11,0,36.6,-122.45,0.269855366736166,0.288196939884794
31890,1,1990-11-14 17:28:00,H3,12,0,36.78,-122.01,-0.377939439243457,NA
31990,1,1990-11-15 15:45:00,C1,12,0,36.79,-121.84,-1.83477135982135,-1.67928650709057
31990,3,1990-11-15 19:57:00,C7,12,0,36.63,-122.13,-1.31957447089876,2.35447160139537
31990,4,1990-11-15 21:01:00,Q5,1,0,36.63,-122.01,0.0882104910981916,-2.32197180679424
31990,5,1990-11-15 21:43:00,H1,8,0,36.62,-121.89,1.60019694592255,-0.950553555697312
33190,3,1990-11-27 20:02:00,H3,2,0,36.77,-122.01,2.77113616779318,0.615841099904528
34690,1,1990-12-12 17:07:00,H3,11,0,36.77,-122.01,NA,-1.42249787061345
34690,2,1990-12-12 21:49:00,C7,11,0,36.63,-122.13,-1.13519951250039,-0.442053887838816
34690,4,1990-12-12 23:39:00,H1,7,0,36.62,-121.89,NA,-0.0871310205102668
PP16,3,1990-12-13 04:34:00,3,11,0,36.33,-122.01,2.34456497690158,0.345548777061257
PP16,7,1990-12-13 08:26:00,7,11,0,36.33,-122.23,1.71920848946056,1.72392717401185
34790,1,1990-12-13 16:05:00,C1,11,0,36.79,-121.84,NA,-0.601804862317006
PP16,11,1990-12-13 17:27:00,11,11,0,36.48,-122.46,1.45355363078719,1.73245398738045
PP16,16,1990-12-14 20:42:00,16,11,0,36.33,-122.8,1.31796011197933,2.40029992475857
PP16,23,1990-12-15 05:39:00,67-60,11,0,36.45,-122.76,1.90785055582703,1.2182073113137
PP16,24,1990-12-17 20:00:00,67-55,11,0,36.6,-122.46,2.03637184066725,2.04910255892661
PP16,33,1990-12-18 23:15:00,67-50,11,0,36.78,-122.03,0.491618339218144,-0.239269122275745
01091,1,1991-01-10 16:05:00,C1,12,0,36.79,-121.84,0.00421908712160158,-1.12924573813619
01091,3,1991-01-10 19:23:00,Q1,1,0,36.76,-122.22,-1.28839118240849,-0.50995100635533
01091,4,1991-01-10 20:39:00,C7,12,0,36.63,-122.13,-1.53127389146475,-1.0162270959869
02391,1,1991-01-23 16:11:00,C1,12,0,36.79,-121.85,1.16886756298919,0.617014236456806
02391,2,1991-01-23 17:36:00,H3,12,0,36.78,-122.02,1.56693346171115,3.37387068541748
02391,3,1991-01-23 20:51:00,C7,12,0,36.63,-122.13,0.314796141193328,-0.149660774554406
02391,4,1991-01-23 22:03:00,Q5,2,0,36.63,-122.01,-0.178397266901801,-0.52301292143149
02391,5,1991-01-23 22:47:00,H1,6,0,36.62,-121.89,-0.520635247852154,-2.22442107202469
02491,2,1991-01-24 16:49:00,H5,1,0,36.9,-122.02,0.0482404893163624,-2.22442107202469
03591,1,1991-02-04 16:12:00,C1,12,0,36.79,-121.85,1.5287405238371,0.113399218533762
03591,2,1991-02-04 17:39:00,H3,12,0,36.78,-122.02,1.19764583117671,0.975779650199925
03591,3,1991-02-04 19:12:00,Q1,2,0,36.76,-122.23,-0.157367514964551,0.183987668059425
03591,4,1991-02-04 20:39:00,C7,12,0,36.63,-122.14,0.395866522052208,0.958175201767501
05091,1,1991-02-19 16:38:00,C1,12,0,36.79,-121.84,1.12121752094321,1.61312789606299
05091,2,1991-02-19 18:05:00,H3,12,0,36.77,-122.01,0.465291921564048,-0.11181910529647
05091,4,1991-02-19 23:09:00,C7,12,0,36.62,-122.13,0.44189217908466,-1.52676635552234
07091,1,1991-03-11 16:02:00,C1,12,0,36.79,-121.84,0.445914553240513,0.899774283173674
07991,1,1991-03-20 16:02:00,C1,12,0,36.79,-121.84,-0.139904802579192,1.20420127822379
07991,2,1991-03-20 17:30:00,H1,6,0,36.62,-121.89,0.105926355540241,1.10140305751427
10291,1,1991-04-12 14:46:00,C1,12,0,36.79,-121.84,0.597471283889359,3.49041281404732
10291,6,1991-04-12 18:18:00,H3,12,0,36.77,-122.01,-1.0773900812175,0.929201428991167
10291,7,1991-04-12 20:18:00,C7,12,0,36.63,-122.13,NA,0.049742091894814
10291,9,1991-04-12 22:08:00,H1,6,0,36.62,-121.89,-1.05034225974557,-1.47249733768049
11591,1,1991-04-25 14:52:00,C1,13,0,36.79,-121.84,0.513602365049188,2.64510770341912
11591,5,1991-04-25 18:11:00,H3,12,0,36.77,-122.01,-0.0391431961578012,1.83757409977374
11591,6,1991-04-25 20:10:00,C7,12,0,36.63,-122.14,-1.61841811401488,-1.71524297133108
11591,8,1991-04-25 22:10:00,H1,6,0,36.62,-121.89,NA,2.19002729447745
13091,1,1991-05-10 15:13:00,C1,11,0,36.79,-121.84,-0.730994437336395,3.17142683691973
13091,3,1991-05-10 16:58:00,H5,2,0,36.9,-122.01,1.26202706677367,4.00949031150722
13091,5,1991-05-10 18:44:00,H3,12,0,36.77,-122,-0.632332459166521,2.29176456162621
