cruise,seq,date_time,ctrb_id,bottle,depth,dec_lat,dec_long,biomass
27690,1,1990-10-03 15:50:00,H3,11,0,36.77,-122.01,2.95798154744016
27690,4,1990-10-03 20:42:00,C7,11,0,36.62,-122.13,3.16333943601066
27690,5,1990-10-03 21:42:00,Q5,2,0,36.63,-122.01,3.17573815123145
27690,6,1990-10-03 22:26:00,H1,6,0,36.62,-121.89,3.40958421366002
27790,1,1990-10-04 14:41:00,C1,11,0,36.79,-121.84,1.31995555377246
27790,5,1990-10-04 18:56:00,H5,2,0,36.9,-122.01,4.79029472741434
PP15,33,1990-10-23 21:00:00,67-50,11,0,36.78,-122.03,5.00190498897561
PP15,24,1990-10-24 04:00:00,67-55,11,0,36.6,-122.45,3.46651597346548
31890,1,1990-11-14 17:28:00,H3,12,0,36.78,-122.01,3.88840909882522
31990,1,1990-11-15 15:45:00,C1,12,0,36.79,-121.84,4.52648890448657
31990,3,1990-11-15 19:57:00,C7,12,0,36.63,-122.13,3.20575467788663
31990,4,1990-11-15 21:01:00,Q5,1,0,36.63,-122.01,2.04852050076236
31990,5,1990-11-15 21:43:00,H1,8,0,36.62,-121.89,3.68861894518443
33190,3,1990-11-27 20:02:00,H3,2,0,36.77,-122.01,4.09293216525893
34690,1,1990-12-12 17:07:00,H3,11,0,36.77,-122.01,2.71023048921242
34690,2,1990-12-12 21:49:00,C7,11,0,36.63,-122.13,2.22040374171836
34690,4,1990-12-12 23:39:00,H1,7,0,36.62,-121.89,2.44950751177223
PP16,3,1990-12-13 04:34:00,3,11,0,36.33,-122.01,3.0715939142746
PP16,7,1990-12-13 08:26:00,7,11,0,36.33,-122.23,3.93215197162686
34790,1,1990-12-13 16:05:00,C1,11,0,36.79,-121.84,2.8799714730511
PP16,11,1990-12-13 17:27:00,11,11,0,36.48,-122.46,4.09884314507469
PP16,16,1990-12-14 20:42:00,16,11,0,36.33,-122.8,3.91495707682777
PP16,23,1990-12-15 05:39:00,67-60,11,0,36.45,-122.76,4.11168948228608
PP16,24,1990-12-17 20:00:00,67-55,11,0,36.6,-122.46,3.57152822521559
PP16,33,1990-12-18 23:15:00,67-50,11,0,36.78,-122.03,2.72399552929524
01091,1,1991-01-10 16:05:00,C1,12,0,36.79,-121.84,2.62392955102358
01091,3,1991-01-10 19:23:00,Q1,1,0,36.76,-122.22,3.42626501335497
01091,4,1991-01-10 20:39:00,C7,12,0,36.63,-122.13,3.5542981676866
02391,1,1991-01-23 16:11:00,C1,12,0,36.79,-121.85,3.59376323049889
02391,2,1991-01-23 17:36:00,H3,12,0,36.78,-122.02,3.90915130604362
02391,3,1991-01-23 20:51:00,C7,12,0,36.63,-122.13,3.96428752702183
02391,4,1991-01-23 22:03:00,Q5,2,0,36.63,-122.01,3.70115709942113
02391,5,1991-01-23 22:47:00,H1,6,0,36.62,-121.89,3.47608374126994
02491,2,1991-01-24 16:49:00,H5,1,0,36.9,-122.02,3.49006655964812
03591,1,1991-02-04 16:12:00,C1,12,0,36.79,-121.85,3.7551459423935
03591,2,1991-02-04 17:39:00,H3,12,0,36.78,-122.02,4.83099951935856
03591,3,1991-02-04 19:12:00,Q1,2,0,36.76,-122.23,3.75674768342789
03591,4,1991-02-04 20:39:00,C7,12,0,36.63,-122.14,3.75480742358345
05091,1,1991-02-19 16:38:00,C1,12,0,36.79,-121.84,3.71667480919222
05091,2,1991-02-19 18:05:00,H3,12,0,36.77,-122.01,2.39722231914312
05091,4,1991-02-19 23:09:00,C7,12,0,36.62,-122.13,4.13816705873063
07091,1,1991-03-11 16:02:00,C1,12,0,36.79,-121.84,2.49122887235519
07991,1,1991-03-20 16:02:00,C1,12,0,36.79,-121.84,2.94311225735488
07991,2,1991-03-20 17:30:00,H1,6,0,36.62,-121.89,2.58903112686478
10291,1,1991-04-12 14:46:00,C1,12,0,36.79,-121.84,5.38149919893308
10291,6,1991-04-12 18:18:00,H3,12,0,36.77,-122.01,5.89313292910295
10291,7,1991-04-12 20:18:00,C7,12,0,36.63,-122.13,4.75373743888557
10291,9,1991-04-12 22:08:00,H1,6,0,36.62,-121.89,5.96247645288163
11591,1,1991-04-25 14:52:00,C1,13,0,36.79,-121.84,4.69255812207045
11591,5,1991-04-25 18:11:00,H3,12,0,36.77,-122.01,3.82782219146705
11591,6,1991-04-25 20:10:00,C7,12,0,36.63,-122.14,3.91671746917022
11591,8,1991-04-25 22:10:00,H1,6,0,36.62,-121.89,5.32440552685976
13091,1,1991-05-10 15:13:00,C1,11,0,36.79,-121.84,4.80877639225567
13091,3,1991-05-10 16:58:00,H5,2,0,36.9,-122.01,5.39403761226384
13091,5,1991-05-10 18:44:00,H3,12,0,36.77,-122,2.56457397932367
14091,7,1991-05-20 22:51:00,H3,12,0,36.77,-122.01,4.60143499885384
14191,8,1991-05-21 22:20:00,H3,12,0,36.77,-122.01,5.77276461141887
14291,7,1991-05-22 22:10:00,H3,6,0,36.77,-122.01,5.97203716414884
14391,3,1991-05-23 21:43:00,H3,12,0,36.77,-122,5.91704522995297
14491,7,1991-05-24 19:54:00,H3,12,0,36.77,-122.01,6.52468554439102
15891,1,1991-06-07 15:00:00,C1,12,0,36.79,-121.84,5.24428579492008
