cruise,seq,date_time,ctrb_id,bottle,depth,dec_lat,dec_long,pennate,centric
PP12,24,1990-05-22 23:28:00,67-55,11,0,36.6,-122.48,2.36276076698966,0.370502994235162
PP12,27,1990-05-23 08:00:00,27,11,0,36.71,-122.23,0.357668849850573,-0.104897289630238
PP12,33,1990-05-23 10:33:00,33,11,0,36.76,-122.03,1.42261495954127,3.37624518204865
15090,2,1990-05-30 15:45:00,H1,6,0,36.62,-121.89,3.15509469150675,5.68976619392044
15090,5,1990-05-30 17:45:00,C7,11,0,36.63,-122.13,1.87505641458325,2.53941732534946
15090,6,1990-05-30 20:42:00,H3,11,0,36.77,-122.01,3.70764789486273,3.55779078988338
16490,1,1990-06-13 14:53:00,C1,11,0,36.79,-121.84,2.69980900218393,4.45535082743134
16490,2,1990-06-13 16:28:00,H1,6,0,36.64,-121.88,-0.905106014674533,2.78257104515546
16590,2,1990-06-14 16:45:00,H3,7,0,36.77,-122.01,2.40572255950814,1.54919500525536
PP13,1,1990-06-16 21:37:00,1,11,0,36.33,-121.93,0.860010708606814,0.67172434142915
PP13,7,1990-06-17 01:38:00,7,11,0,36.33,-122.25,1.61823470693283,3.43387977936044
PP13,13,1990-06-17 23:54:00,13,11,0,36.33,-122.58,2.83498336488,3.84833937210317
PP13,24,1990-06-22 02:05:00,67-55,11,0,36.6,-122.48,1.20530202052654,2.07622988984285
PP13,27,1990-06-22 09:12:00,27,11,0,36.71,-122.23,0.372807609863224,-0.422515645879166
17790,1,1990-06-26 15:23:00,C1,11,0,36.79,-121.84,3.73206692867896,2.96672556737936
17790,2,1990-06-26 16:43:00,H1,6,0,36.62,-121.89,3.04802942390949,4.64685018032121
17790,5,1990-06-26 18:50:00,C7,11,0,36.63,-122.14,0.165036358113671,1.04519744714448
17790,7,1990-06-26 23:00:00,H3,11,0,36.77,-122.01,2.81889252416126,3.67310623334463
17890,5,1990-06-27 17:33:00,H5,1,0,36.9,-122.01,0.468185101726435,2.23038691141344
19290,1,1990-07-11 14:55:00,C1,11,0,36.79,-121.84,1.35406812944957,1.83353828584801
19290,2,1990-07-11 16:38:00,H1,6,0,36.62,-121.89,3.37301084743003,4.01308155890171
19290,5,1990-07-11 18:45:00,C7,11,0,36.63,-122.14,0.86534137833217,3.69256791835853
19290,6,1990-07-11 20:29:00,H3,11,0,36.77,-122.01,2.43188502058466,4.06577965906585
20790,1,1990-07-26 14:46:00,C1,11,0,36.79,-121.84,1.9625069428741,3.6445045669972
20790,2,1990-07-26 16:17:00,H3,11,0,36.77,-122.01,-2.96396232546519,2.87516364297806
20790,3,1990-07-26 19:38:00,C7,11,0,36.63,-122.13,-1.41274922556434,0.369322426285684
20790,5,1990-07-26 21:35:00,H1,6,0,36.62,-121.89,1.8562954903625,5.41806576738617
22090,7,1990-08-08 22:42:00,C1,11,0,36.79,-121.84,-0.767737114992676,3.97453630844521
22190,1,1990-08-09 15:50:00,H3,11,0,36.78,-122.01,1.873566772932,6.53608985716155
22190,2,1990-08-09 17:34:00,C7,11,0,36.64,-122.13,1.87946825574889,4.67274069039042
22190,3,1990-08-09 18:43:00,Q5,3,0,36.63,-122.01,2.23293593476949,5.76576852538602
PP14,24,1990-08-19 02:15:00,67-55,11,0,36.6,-122.48,1.98928978430796,2.52790978389295
PP14,26,1990-08-19 07:08:00,26,11,0,36.61,-122.15,0.961607824286931,2.70647255727638
PP14,27,1990-08-19 13:20:00,27,11,0,36.71,-122.23,0.564683496808666,2.72559249799747
PP14,33,1990-08-19 16:53:00,67-50,11,0,36.76,-122.03,1.46125919820284,3.57037541171965
24890,1,1990-09-05 15:17:00,C1,11,0,36.79,-121.84,4.15569005356142,-1.05990420688784
24890,2,1990-09-05 16:30:00,H1,6,0,36.62,-121.89,3.84968072678347,2.5535760800846
24890,5,1990-09-05 18:22:00,C7,12,0,36.63,-122.13,3.59612725737953,1.81201542512784
24890,6,1990-09-05 19:50:00,H3,11,0,36.77,-122.01,3.74849756957275,-0.99261577529971
26290,5,1990-09-19 21:00:00,H5,2,0,36.9,-122.01,4.68020949288637,2.12031677478289
26290,7,1990-09-19 22:19:00,C1,11,0,36.79,-121.84,2.80113317525159,2.32609495763325
26390,1,1990-09-20 15:42:00,H3,11,0,36.77,-122.01,4.7829136459371,1.33060880327132
27690,1,1990-10-03 15:50:00,H3,11,0,36.77,-122.01,0.425985125077651,-3.19647852742616
27690,4,1990-10-03 20:42:00,C7,11,0,36.62,-122.13,-1.22307407762834,-1.20282013557055
27690,5,1990-10-03 21:42:00,Q5,2,0,36.63,-122.01,-1.47352685346281,-2.11701049973196
27690,6,1990-10-03 22:26:00,H1,6,0,36.62,-121.89,-2.16361476821326,0.730900471421737
27790,1,1990-10-04 14:41:00,C1,11,0,36.79,-121.84,-2.51640970085698,-3.6082953545579
27790,5,1990-10-04 18:56:00,H5,2,0,36.9,-122.01,4.44652077201401,-0.0433355675665004
PP15,33,1990-10-23 21:00:00,67-50,11,0,36.78,-122.03,4.68800625934966,3.09989582813964
PP15,24,1990-10-24 04:00:00,67-55,11,0,36.6,-122.45,-0.84997410500396,NA
31890,1,1990-11-14 17:28:00,H3,12,0,36.78,-122.01,3.02458869326033,2.80326516425236
31990,1,1990-11-15 15:45:00,C1,12,0,36.79,-121.84,4.2436559515486,2.60238437958403
